Customer_ID,Customer_Name,Customer_Type,Age,Gender,State,Email,Phone,Registration_Date
CUST0001,Rajesh Agarwal,Wholesale,74,Female,Madhya Pradesh,rajesh736@gmail.com,+91 6475305327,2021-01-23
CUST0002,Pooja Mehta,Retail,75,Female,Maharashtra,pooja174@outlook.com,+91 6854663804,2022-09-08
CUST0003,Sunil Deshmukh,Retail,49,Female,Rajasthan,sunil517@outlook.com,+91 9067985169,2020-09-17
CUST0004,Alok Chatterjee,Retail,64,Male,Andhra Pradesh,alok769@yahoo.com,+91 6564434600,2020-08-12
CUST0005,Vikram Singh,Wholesale,40,Male,Rajasthan,vikram23@outlook.com,+91 7015780972,2020-04-16
CUST0006,Meena Sharma,Distributor,45,Male,Uttar Pradesh,meena306@yahoo.com,+91 8087050235,2020-06-18
CUST0007,Vikram Chatterjee,Wholesale,29,Male,Tamil Nadu,vikram297@gmail.com,+91 9711568182,2021-06-23
CUST0008,Pooja Reddy,Retail,48,Male,Odisha,pooja811@gmail.com,+91 9011394625,2022-10-25
CUST0009,Neha Singh,Corporate,32,Female,Gujarat,neha145@yahoo.com,+91 6164782560,2021-07-14
CUST0010,Pooja Sharma,Retail,57,Male,Tamil Nadu,pooja103@gmail.com,+91 7633602176,2022-04-14
CUST0011,Deepak Rao,Retail,39,Female,Haryana,deepak500@gmail.com,+91 8189847872,2022-05-24
CUST0012,Ramesh Agarwal,Retail,35,Male,Delhi,ramesh738@yahoo.com,+91 7060722221,2021-10-17
CUST0013,Rajesh Patel,Distributor,60,Male,Odisha,rajesh339@gmail.com,+91 7225427052,2022-08-24
CUST0014,Pooja Nair,Distributor,34,Female,Uttar Pradesh,pooja382@yahoo.com,,2020-08-16
CUST0015,Siddharth Singh,Retail,39,Male,Delhi,siddharth769@yahoo.com,+91 9190868713,2023-04-21
CUST0016,Ramesh Reddy,Retail,55,Male,Haryana,ramesh99@gmail.com,+91 6560430538,2023-07-13
CUST0017,Neha Reddy,Retail,30,Male,Odisha,neha466@gmail.com,+91 6321605430,2023-01-24
CUST0018,Rohan Reddy,Wholesale,52,Male,Odisha,rohan167@gmail.com,+91 6549034032,2021-01-27
CUST0019,Siddharth Agarwal,Distributor,75,Female,Delhi,siddharth469@outlook.com,+91 9080891187,2020-08-28
CUST0020,Pooja Chatterjee,Retail,50,Male,Kerala,pooja32@gmail.com,+91 8573345379,2021-07-15
CUST0021,Amit Patel,Distributor,68,Female,Odisha,amit204@outlook.com,+91 9498394781,2022-03-25
CUST0022,Gaurav Verma,Retail,28,Female,Uttar Pradesh,gaurav778@outlook.com,+91 7649913500,2023-02-25
CUST0023,Ramesh Reddy,Retail,29,Female,Maharashtra,ramesh173@outlook.com,+91 6935477031,2023-04-27
CUST0024,Gaurav Kulkarni,Distributor,50,Male,Odisha,gaurav747@outlook.com,+91 7111686236,2021-09-13
CUST0025,Ramesh Mishra,Wholesale,25,Female,Karnataka,ramesh239@gmail.com,+91 8291647639,2021-05-02
